correct,incorrect
"Najpierw opuściła go jedna matka, potem druga.","Najpierw opuścił go jedna matka, potem druga."
"Wtedy zsunęła się z pomostu do wody, która sięgnęła jej po szyję.","Wtedy zsunął się z pomostu do wody, która sięgnęła jej po szyję."
"Gdyby było odrobinę głębiej, zanurzyłaby się z głową.","Gdyby było odrobinę głębiej, zanurzył by się z głową."
"Uchwyciła się burty i przyholowała łódź z powrotem, przywiązując do pala.","Uchwycił się burty i przyholowała łódź z powrotem, przywiązując do pala."
Wkrótce sprawa się wyjaśniła.,Wkrótce sprawa się wyjaśnił.
"Sekretarka wprowadziła go do gabinetu, przepraszając jednocześnie w imieniu szefa, który utknął w korku.","Sekretarka wprowadził go do gabinetu, przepraszając jednocześnie w imieniu szefa, który utknął w korku."
Dała mu do przejrzenia prasę.,Dał mu do przejrzenia prasę.
"Na ganek wyszła starsza pani, ubrana w niemodną sukienkę z koronkowym kołnierzykiem i mankietami.","Na ganek wyszedł starsza pani, ubrana w niemodną sukienkę z koronkowym kołnierzykiem i mankietami."
W pokoju na górce położyła chłopca w swoim łóżku i zeszła na dół.,W pokoju na górce położył chłopca w swoim łóżku i zeszła na dół.
"W trakcie rozmowy Elizabeth ze zdumieniem zdała sobie sprawę z dwóch rzeczy: że francuszczyzna jej rozmówczyni jest nienaganna i że, mimo wyglądu żebraczki, stara kobieta jest osobą wysoce inteligentną.","W trakcie rozmowy Elizabeth ze zdumieniem zdał sobie sprawę z dwóch rzeczy: że francuszczyzna jej rozmówczyni jest nienaganna i że, mimo wyglądu żebraczki, stara kobieta jest osobą wysoce inteligentną."
"Powiedziała Elizabeth, iż jest Polką, a to miasto kiedyś należało do Polski.","Powiedział Elizabeth, iż jest Polką, a to miasto kiedyś należało do Polski."
"Rozpoznała strażnika, który przyniósł jej obiad.","Rozpoznał strażnika, który przyniósł jej obiad."
Odpowiedziała uśmiechem.,Odpowiedział uśmiechem.
"Elizabeth uśmiechnęła się do kobiet, a one uśmiechnęły się do niej.","Elizabeth uśmiechnął się do kobiet, a one uśmiechnęły się do niej."
Następnego dnia Elizabeth podjechała taksówką pod szkołę Aleka.,Następnego dnia Elizabeth podjechał taksówką pod szkołę Aleka.
W pewnej chwili podeszła do niej dziewczynka z cienkimi warkoczykami.,W pewnej chwili podszedł do niej dziewczynka z cienkimi warkoczykami.
"Niestety, z tego, co mówiła, Elizabeth nie zrozumiała ani słowa.","Niestety, z tego, co mówiła, Elizabeth nie zrozumiał ani słowa."
"Obejrzała się na taksówkarza, ale z nim też przecież ledwo mogła się porozumieć.","Obejrzał się na taksówkarza, ale z nim też przecież ledwo mogła się porozumieć."
"Zdesperowana wyjęła ""rozmówki"".","Zdesperowana wyjął ""rozmówki""."
"Irina podała dwa paszporty, ""pogranicznik"", jak go nazywały Rosjanki, zerknął do środka, potem oddał dokumenty bez słowa.","Irina podał dwa paszporty, ""pogranicznik"", jak go nazywały Rosjanki, zerknął do środka, potem oddał dokumenty bez słowa."
Wypiła tylko kawę.,Wypił tylko kawę.
Więc tutaj można się nawet śmiać - pomyślała.,Więc tutaj można się nawet śmiać - pomyślał.
"Powstrzymała się od kolejnego pytania, choć wiele ją to kosztowało.","Powstrzymał się od kolejnego pytania, choć wiele ją to kosztowało."
"Prawie znalazła na to odpowiedź, bo kiedy ich spojrzenia się spotkały, w oczach Andrew odnalazła niezwykłe ciepło, nikt do tej pory tak na nią nie patrzył.","Prawie znalazł na to odpowiedź, bo kiedy ich spojrzenia się spotkały, w oczach Andrew odnalazła niezwykłe ciepło, nikt do tej pory tak na nią nie patrzył."
"W tym momencie zrozumiałam, że ona się myli.","W tym momencie zrozumiał m , że ona się myli."
"I chociaż wtedy byłam zupełnym dzieckiem, przysięgłam sobie, że nie będę o niej myślała.","I chociaż wtedy była m zupełnym dzieckiem, przysiągł m sobie, że nie będę o niej myślała."
"Mam czekać tak długo - potem pomyślałam: - Czy ty wiesz, czym jest rozpacz?","Mam czekać tak długo - potem pomyślał m : - Czy ty wiesz, czym jest rozpacz?"
"Ta kobieta przystanęła na chodniku, a potem cała zwróciła się w moją stronę.","Ta kobieta przystanął na chodniku, a potem cała zwróciła się w moją stronę."
"Prawie się nie zmieniła, miała dość ostry makijaż.","Prawie się nie zmienił, miała dość ostry makijaż."
"Stałyśmy tak o kilka kroków od siebie, w końcu ja podeszłam.","Stały śmy tak o kilka kroków od siebie, w końcu ja podszedł m ."
"Już dawno zrobiłam sobie krzywdę - pomyślałam, ale bez emocji.","Już dawno zrobiła m sobie krzywdę - pomyślał m , ale bez emocji."
"Nie poczułam ukłucia, to było coś takiego, jakby ktoś wysypał mi na plecy tysiące maleńkich mrówek, takich mrówek faraona, które swoim zwyczajem wędrowały jedna za drugą.","Nie poczuł m ukłucia, to było coś takiego, jakby ktoś wysypał mi na plecy tysiące maleńkich mrówek, takich mrówek faraona, które swoim zwyczajem wędrowały jedna za drugą."
"Mrówki biegną gęsiego - pomyślałam z odrobiną czegoś, co mogło być poczuciem humoru, ale zaraz pojawiła się ta czarna melancholia.","Mrówki biegną gęsiego - pomyślał m z odrobiną czegoś, co mogło być poczuciem humoru, ale zaraz pojawiła się ta czarna melancholia."
"Wtedy chyba zrozumiałam, że kocham tego człowieka, że kochałam go od dawna, a raczej, że kochałam Was obu.","Wtedy chyba zrozumiał m , że kocham tego człowieka, że kochała m go od dawna, a raczej, że kochała m Was obu."
Zakorzeniłam się w swojej miłości i w swoim strachu.,Zakorzenił m się w swojej miłości i w swoim strachu.
"Nagle uświadomiłam sobie, jak bardzo się ostatnio postarzał.","Nagle uświadomił m sobie, jak bardzo się ostatnio postarzał."
Nagle na jego twarzy zobaczyłam krople krwi.,Nagle na jego twarzy zobaczył m krople krwi.
W tym momencie przyłapałam Twoje uważne spojrzenie.,W tym momencie przyłapał m Twoje uważne spojrzenie.
Mniej więcej po trzech miesiącach zdecydowałam się na rozmowę.,Mniej więcej po trzech miesiącach zdecydował m się na rozmowę.
"Wybrałam moment, kiedy nie był zajęty i miał dobry humor.","Wybrał m moment, kiedy nie był zajęty i miał dobry humor."
"Potem podałam mu papiery do podpisu, ale nie odchodziłam.","Potem podał m mu papiery do podpisu, ale nie odchodziła m ."
Ujęła mnie pod rękę.,Ujął mnie pod rękę.
Przytuliłam go.,Przytulił m go.
Dziś w kościele Św. Krzyża odbyła się ceremonja ślubna hr. Jerzego Skarbka z panną Stefanją Goldfeder.,Dziś w kościele Św. Krzyża odbył się ceremonja ślubna hr. Jerzego Skarbka z panną Stefanją Goldfeder.
"Krewna Krystyny, która wciąż stała obok mnie, zajrzała mi przez ramię.","Krewna Krystyny, która wciąż stała obok mnie, zajrzał mi przez ramię."
"Krystyna jakby odżyła po tym nużącym i beznadziejnie wlokącym się czasie spędzonym za ladą u Harrodsa; nie potrzebowała już namawiać podstarzałych Angielek do kupna nowego biustonosza czy majtek, co przekładało się na wysokość jej pensji, nie musiała też grzebać się w czyichś brudach, dosłownie, przewlekając hotelową pościel.","Krystyna jakby odżył po tym nużącym i beznadziejnie wlokącym się czasie spędzonym za ladą u Harrodsa; nie potrzebowała już namawiać podstarzałych Angielek do kupna nowego biustonosza czy majtek, co przekładało się na wysokość jej pensji, nie musiała też grzebać się w czyichś brudach, dosłownie, przewlekając hotelową pościel."
Postanowiłam zacząć od kobiety.,Postanowił m zacząć od kobiety.
"Starsza pani przyjęła mnie w dziwnym stroju i w jeszcze dziwniejszym uczesaniu: góra ufryzowanych loczków przykryta czymś, co miało udawać mantylkę, a przypominało robioną na szydełku serwetkę, której róg zachodził aż na czoło.","Starsza pani przyjął mnie w dziwnym stroju i w jeszcze dziwniejszym uczesaniu: góra ufryzowanych loczków przykryta czymś, co miało udawać mantylkę, a przypominało robioną na szydełku serwetkę, której róg zachodził aż na czoło."
"Znalazłam tam również ten artykuł o klubach i o roku 1952 jako ""roku zgubionym""...","Znalazł m tam również ten artykuł o klubach i o roku 1952 jako ""roku zgubionym""..."
"Krystyna w swoich dziennikach opisała jedno jedyne polowanie, może dlatego, że nie mogła się pogodzić z zabijaniem zwierząt, a to było bezkrwawe: pogoń za lisem, czyli za jeźdźcem z lisią kitą przypiętą do ramienia, którą należało mu odebrać.","Krystyna w swoich dziennikach opisał jedno jedyne polowanie, może dlatego, że nie mogła się pogodzić z zabijaniem zwierząt, a to było bezkrwawe: pogoń za lisem, czyli za jeźdźcem z lisią kitą przypiętą do ramienia, którą należało mu odebrać."
Kilka lat temu wymieniła adapter na kompakt wysokiej klasy.,Kilka lat temu wymienił adapter na kompakt wysokiej klasy.
"Przyjrzała mu się uważnie, jakby widziała go po raz pierwszy.","Przyjrzał mu się uważnie, jakby widziała go po raz pierwszy."
"Droga moja, podróż do krainy Twojej młodości wzruszyła mnie, pozwoliła też lepiej Cię zrozumieć, nie odmówiłem sobie spaceru brzegiem morza, bo chciałem poczuć, niejako w Twoim zastępstwie, słony wiatr na twarzy.","Droga moja, podróż do krainy Twojej młodości wzruszył mnie, pozwoliła też lepiej Cię zrozumieć, nie odmówił em sobie spaceru brzegiem morza, bo chciał em poczuć, niejako w Twoim zastępstwie, słony wiatr na twarzy."
"Eliza skończyła tam medycynę, potem pracowała w jednym ze szpitali, aż do swojego wyjazdu...","Eliza skończył tam medycynę, potem pracowała w jednym ze szpitali, aż do swojego wyjazdu..."
"Z twarzą zalaną łzami przystawiła dziecko do piersi, nie wiedząc, czy nie jest za późno, czy jeszcze żyje.","Z twarzą zalaną łzami przystawił dziecko do piersi, nie wiedząc, czy nie jest za późno, czy jeszcze żyje."
Przypomniała sobie niedawną rozmowę na ten temat z Kirchhoffem i zrobiło jej się przykro.,Przypomniał sobie niedawną rozmowę na ten temat z Kirchhoffem i zrobiło jej się przykro.
Po raz kolejny przeszłość rzuciła cień na jej życie.,Po raz kolejny przeszłość rzucił cień na jej życie.
"Słynna matka Teresa odeszła, a los jej podopiecznych niewiele się zmienił, jak byli chorzy i nieszczęśliwi, tak nimi pozostali.","Słynna matka Teresa odszedł, a los jej podopiecznych niewiele się zmienił, jak byli chorzy i nieszczęśliwi, tak nimi pozostali."
"Jego uwagę przykuła anachroniczność tego ogłoszenia, nikt już takich zwrotów jak ""kandydat płci męskiej"" albo ""towarzysz do rozmów i lektur"" nie używał.","Jego uwagę przykuł anachroniczność tego ogłoszenia, nikt już takich zwrotów jak ""kandydat płci męskiej"" albo ""towarzysz do rozmów i lektur"" nie używał."
"Eliza zobaczyła przez okno swojego pokoju nieco staroświecki samochód Kirchhoffa i pomyślała, że jego klienci muszą mu wybaczać te dziwactwa.","Eliza zobaczył przez okno swojego pokoju nieco staroświecki samochód Kirchhoffa i pomyślała, że jego klienci muszą mu wybaczać te dziwactwa."
"Nieoczekiwanie dla samej siebie nie wróciła po zajęciach do domu, ale pojechała do Hamptons.","Nieoczekiwanie dla samej siebie nie wrócił po zajęciach do domu, ale pojechała do Hamptons."
"Jej przyjaciółka Sharon po śmierci męża zrezygnowała z pracy i całe miesiące spędzała w letnim domu, z którego rozpościerał się przepiękny widok na ocean.","Jej przyjaciółka Sharon po śmierci męża zrezygnował z pracy i całe miesiące spędzała w letnim domu, z którego rozpościerał się przepiękny widok na ocean."
"""Boże, ile wspomnień"" - pomyślała.","""Boże, ile wspomnień"" - pomyślał."
Taksówka wjechała teraz w inną część miasta.,Taksówka wjechał teraz w inną część miasta.
"Na ganku pojawiła się właścicielka pensjonatu, pani Maria, z warkoczem ciasno oplecionym wokół głowy.","Na ganku pojawił się właścicielka pensjonatu, pani Maria, z warkoczem ciasno oplecionym wokół głowy."
"Elizabeth wysiadła, taksówkarz wystawił jej bagaże i odjechał.","Elizabeth wysiadł, taksówkarz wystawił jej bagaże i odjechał."
"Nie powiedziała mu, że leży w szpitalu.","Nie powiedział mu, że leży w szpitalu."
"Zatelefonowała do Alony i poprosiła, aby przyniosła do szpitala zieloną teczkę.","Zatelefonował do Alony i poprosiła, aby przyniosła do szpitala zieloną teczkę."
"""Jak prosto jest załatwiać interesy z dzieckiem - pomyślała z rozczuleniem - i jakie to jednocześnie zobowiązujące.","""Jak prosto jest załatwiać interesy z dzieckiem - pomyślał z rozczuleniem - i jakie to jednocześnie zobowiązujące."
"Elizabeth uzgodniła z wychowawcą chłopca, że następnego dnia z samego rana zabierze Aleka na wycieczkę i odwiezie go wieczorem.","Elizabeth uzgodnił z wychowawcą chłopca, że następnego dnia z samego rana zabierze Aleka na wycieczkę i odwiezie go wieczorem."
Przyszła do mnie chora na raka kobieta z bardzo dziwną sprawą.,Przyszedł do mnie chora na raka kobieta z bardzo dziwną sprawą.
"Po tej wiadomości Elizabeth dostała wysokiej gorączki, majaczyła.","Po tej wiadomości Elizabeth dostał wysokiej gorączki, majaczyła."
"Ja ją zabiłam!""","Ja ją zabił m !"""
"Usłyszała gdzieś, za co rodacy go lubią.","Usłyszał gdzieś, za co rodacy go lubią."
"Tamta zatrzymała się przy drzwiach i mimo że Elizabeth uczyniła gest, zapraszając ją dalej, tkwiła na swoim miejscu.","Tamta zatrzymał się przy drzwiach i mimo że Elizabeth uczyniła gest, zapraszając ją dalej, tkwiła na swoim miejscu."
"Podała jej tylko złożoną na pół, wyrwaną ze szkolnego zeszytu kartkę.","Podał jej tylko złożoną na pół, wyrwaną ze szkolnego zeszytu kartkę."
"Kiedy teraz do mnie przyszła, zaczęła mnie namawiać, abym się do nich przyłączył.","Kiedy teraz do mnie przyszła, zaczął mnie namawiać, aby m się do nich przyłączył."
"Powiedziała, że liczą na moje doświadczenie i znajomość świata.","Powiedział, że liczą na moje doświadczenie i znajomość świata."
Po jakimś czasie dojechała do rozwidlenia dróg i musiała dokonać wyboru.,Po jakimś czasie dojechał do rozwidlenia dróg i musiała dokonać wyboru.
"Po namyśle skręciła w prawo, bo tutaj koleiny były głębsze i szersze, co wskazywało, że ta droga była bardziej uczęszczana.","Po namyśle skręcił w prawo, bo tutaj koleiny były głębsze i szersze, co wskazywało, że ta droga była bardziej uczęszczana."
"Miesiąc temu myśl taka lub podobna doprowadziłaby go do furii, teraz sprawiała mu dziwną przyjemność.","Miesiąc temu myśl taka lub podobna doprowadził by go do furii, teraz sprawiała mu dziwną przyjemność."
Na śniadanie Handzia podała ziemniaki z zsiadłym mlekiem i postawiła przed Saszką i Wiktorem dwa kubki kwasu z dzieży chlebowej.,Na śniadanie Handzia podał ziemniaki z zsiadłym mlekiem i postawiła przed Saszką i Wiktorem dwa kubki kwasu z dzieży chlebowej.
Pogoda się poprawiła.,Pogoda się poprawił.
Po policzku potoczyła się łza.,Po policzku potoczył się łza.
"Uderzyła mnie ta pogoda w jej tonie, jakby nagle, przez ten czas, kiedy spałem, wyszła wreszcie z cienia, przezwyciężyła ból tamtego dnia, kiedy odszedł ojciec.","Uderzył mnie ta pogoda w jej tonie, jakby nagle, przez ten czas, kiedy spał em , wyszła wreszcie z cienia, przezwyciężyła ból tamtego dnia, kiedy odszedł ojciec."
A moja matka odparła: Andrzej?,A moja matka odparł: Andrzej?
Elwira uśmiechnęła się na wspomnienie czarnowłosego chłopaka w marynarskim kołnierzu.,Elwira uśmiechnął się na wspomnienie czarnowłosego chłopaka w marynarskim kołnierzu.
"Malwina spojrzała na niego z odrazą, Kulesza się zaczerwienił, ale Ewa, o dziwo, parsknęła śmiechem.","Malwina spojrzał na niego z odrazą, Kulesza się zaczerwienił, ale Ewa, o dziwo, parsknęła śmiechem."
"Malwa zdusiła niedopałek na talerzyku, objęła przyjaciółkę i wyprowadziła ją z kuchni, na odchodnym rzucając policjantowi pełne wyrzutu spojrzenie.","Malwa zdusił niedopałek na talerzyku, objęła przyjaciółkę i wyprowadziła ją z kuchni, na odchodnym rzucając policjantowi pełne wyrzutu spojrzenie."
Sprawna jak maszyna pamięć Gagosiana wyrzuciła momentalnie nazwisko artysty: Levinsson.,Sprawna jak maszyna pamięć Gagosiana wyrzucił momentalnie nazwisko artysty: Levinsson.
Ewa poczuła kłucie w boku i stanęła zdyszana.,Ewa poczuł kłucie w boku i stanęła zdyszana.
"W witrynie pełnej wazonów, szklanych rybek i innych wątpliwej urody cacek zobaczyła rozczochraną babę o dzikim wejrzeniu.","W witrynie pełnej wazonów, szklanych rybek i innych wątpliwej urody cacek zobaczył rozczochraną babę o dzikim wejrzeniu."
"""O rany"", machinalnie przygładziła włosy.","""O rany"", machinalnie przygładził włosy."
Odpowiedziała jej cisza.,Odpowiedział jej cisza.
Wstrząsana suchym szlochem rzuciła się na materac.,Wstrząsana suchym szlochem rzucił się na materac.
"Po chwili uspokoiła się na tyle, by utrzymać w rękach prawie już pustą butelkę.","Po chwili uspokoił się na tyle, by utrzymać w rękach prawie już pustą butelkę."
Upiła łyk i sięgnęła po torebkę z bułką.,Upił łyk i sięgnęła po torebkę z bułką.
Wcześniej nie zauważyła tego nadruku.,Wcześniej nie zauważył tego nadruku.
"Po raz kolejny przeczytała poprawiany w nieskończoność list, po namyśle wymazała ""Całuję"", dopisała ""straszną"" do ""świnią"" i wcisnęła send.","Po raz kolejny przeczytał poprawiany w nieskończoność list, po namyśle wymazała ""Całuję"", dopisała ""straszną"" do ""świnią"" i wcisnęła send."
Wyłączyła komputer i podeszła do lustra.,Wyłączył komputer i podeszła do lustra.
"Stwierdziła z zadowoleniem, że całość prezentuje się bardzo wiarygodnie, zwłaszcza w przyćmionym świetle.","Stwierdził z zadowoleniem, że całość prezentuje się bardzo wiarygodnie, zwłaszcza w przyćmionym świetle."
"Mijając miejsce, w którym zginął Młody, wzdrygnęła się i odwróciła wzrok.","Mijając miejsce, w którym zginął Młody, wzdrygnął się i odwróciła wzrok."
"Cóż - potem spróbowała trochę nadrobić stracony czas, i oto siedzi od paru godzin pod obrazem Przenajświętszej Panienki i kontempluje kredens na wysoki połysk, zdana na gościnność i pomoc autochtonów.","Cóż - potem spróbował trochę nadrobić stracony czas, i oto siedzi od paru godzin pod obrazem Przenajświętszej Panienki i kontempluje kredens na wysoki połysk, zdana na gościnność i pomoc autochtonów."
"Ta, dla przykładu, nie powstałaby, gdyby nie święta cierpliwość Piotra, fachowe rady mojej Mamy, krytyczny wkład Agnieszki Gozdek oraz doping Joasi Leszczyńskiej, Kasi Prażmowskiej, Marty, Krystyny i reszty moich przyjaciół, w tym kota Błażeja.","Ta, dla przykładu, nie powstał by , gdyby nie święta cierpliwość Piotra, fachowe rady mojej Mamy, krytyczny wkład Agnieszki Gozdek oraz doping Joasi Leszczyńskiej, Kasi Prażmowskiej, Marty, Krystyny i reszty moich przyjaciół, w tym kota Błażeja."
"Wtedy i Ewa zdrzemnęła się, przytulona do Joli.","Wtedy i Ewa zdrzemnął się, przytulona do Joli."
"Ocknęła się obolała, zmęczona, z niesmakiem w ustach i zerowym poczuciem miejsca i czasu.","Ocknął się obolała, zmęczona, z niesmakiem w ustach i zerowym poczuciem miejsca i czasu."
Publiczność oszalała z radości...,Publiczność oszalał z radości...
"– To jest m o j a córka, sukinsynu! – wrzasnęła.","– To jest m o j a córka, sukinsynu! – wrzasnął."
Serena zamruczała coś przez sen i rozłożyła się na mojej połowie.,Serena zamruczał coś przez sen i rozłożyła się na mojej połowie.
Marchewą wstrząsnęła taka sugestia.,Marchewą wstrząsnął taka sugestia.
– Recepcjonistka umilkła na moment.,– Recepcjonistka umilkł na moment.
Ruszyła na północ.,Ruszył na północ.
"Spojrzała w niebo, oceniając, kiedy znów zacznie padać.","Spojrzał w niebo, oceniając, kiedy znów zacznie padać."
"Obudziła się, spocona mimo zimna.","Obudził się, spocona mimo zimna."
"Usiadła, obejmując dłońmi ramiona.","Usiadł, obejmując dłońmi ramiona."
W słuchawce zaległa długa cisza.,W słuchawce zaległ długa cisza.
Zmarszczyła szerokie brwi; pytanie było nieoczekiwane.,Zmarszczył szerokie brwi; pytanie było nieoczekiwane.
Wzruszyła ramionami.,Wzruszył ramionami.
"– No… nie wiem, naprawdę – powiedziała.","– No… nie wiem, naprawdę – powiedział."
"Tak jak przewidywał, kilkanaście minut później ceremonia pogrzebowa krywów dobiegła końca.","Tak jak przewidywał, kilkanaście minut później ceremonia pogrzebowa krywów dobiegł końca."
Większość ludzi się rozeszła.,Większość ludzi się rozszedł.
Znowu poprawiłam torbę na ramieniu i westchnęłam.,Znowu poprawił m torbę na ramieniu i westchnęła m .
– Gówno – mruknęłam do Jenksa.,– Gówno – mruknął m do Jenksa.
"– Wiesz o tym? – zapytałam, wyrywając legitymację Peterowi i chowając ją w torbie.","– Wiesz o tym? – zapytał m , wyrywając legitymację Peterowi i chowając ją w torbie."
"Wiedźma odwróciła się ku niemu z mozołem, wkładając w ten drobny ruch wszystkie swoje siły.","Wiedźma odwrócił się ku niemu z mozołem, wkładając w ten drobny ruch wszystkie swoje siły."
A pomoc teraz bardzo by mi się przydała.,A pomoc teraz bardzo by mi się przydał.
– Przywołała na twarz wysilony uśmiech.,– Przywołał na twarz wysilony uśmiech.
– Chciałabym… – zaczęła.,– Chciała by m … – zaczął.
"– Chciałabym nigdy cię nie znaleźć! – wyrzuciła z siebie, po czym trzasnęła drzwiami.","– Chciała by m nigdy cię nie znaleźć! – wyrzucił z siebie, po czym trzasnęła drzwiami."
We własnym pokoju rzuciła się na łóżko i prędko zasnęła.,We własnym pokoju rzucił się na łóżko i prędko zasnęła.
"A poza tym to jakby Lukrecja Borgia zawarła małżeństwo z Henrykiem Sinobrodym, obie strony bardzo ryzykowały i faktycznie, przesądziły fatalnie przyszłość swych krajów.","A poza tym to jakby Lukrecja Borgia zawarł małżeństwo z Henrykiem Sinobrodym, obie strony bardzo ryzykowały i faktycznie, przesądziły fatalnie przyszłość swych krajów."
"Przecież Francja już raz pobiła Niemcy - i to wtedy, gdy były one większe i potężniejsze, a Francja mniejsza i słabsza.","Przecież Francja już raz pobił Niemcy - i to wtedy, gdy były one większe i potężniejsze, a Francja mniejsza i słabsza."
Tydzień później próba definitywnego pozyskania Polski przez Hitlera osiągnęła apogeum przy okazji tzw. kryzysu kłajpedzkiego.,Tydzień później próba definitywnego pozyskania Polski przez Hitlera osiągnął apogeum przy okazji tzw. kryzysu kłajpedzkiego.
"Odzyskała przytomność, w każdym razie w pewnym stopniu, bo nie była świadoma gdzie jest i co się stało.","Odzyskał przytomność, w każdym razie w pewnym stopniu, bo nie była świadoma gdzie jest i co się stało."
Ale postanowiła dotrzeć do siostry i rodziny w Podłozinach i jeszcze raz poprosić o pomoc.,Ale postanowił dotrzeć do siostry i rodziny w Podłozinach i jeszcze raz poprosić o pomoc.
"Odtworzyła się kasta zawodowych dowódców wojskowych, jakby dziedziczna, gdzie każde kolejne pokolenie było bardziej ograniczone, bardziej pyszałkowate i pewne swojej pozycji.","Odtworzył się kasta zawodowych dowódców wojskowych, jakby dziedziczna, gdzie każde kolejne pokolenie było bardziej ograniczone, bardziej pyszałkowate i pewne swojej pozycji."
Przeszła ona jego najśmielsze oczekiwania.,Przeszedł ona jego najśmielsze oczekiwania.
"Przez kilka następnych lat najsilniejsza armia świata po prostu przestała się liczyć, utraciła siłę bojową.","Przez kilka następnych lat najsilniejsza armia świata po prostu przestał się liczyć, utraciła siłę bojową."
To jedna z ochotniczych sióstr pomocniczych zastosowała ofiarnie własne metody leczenia.,To jedna z ochotniczych sióstr pomocniczych zastosował ofiarnie własne metody leczenia.
"Kiedy sprawa się wydała, wyleciała z hukiem ze szpitala.","Kiedy sprawa się wydała, wyleciał z hukiem ze szpitala."
Została w piosence.,Został w piosence.
"Ale tutaj w łóżku i towarzystwie chłopców, również rozebranych, przestała odczuwać skrępowanie.","Ale tutaj w łóżku i towarzystwie chłopców, również rozebranych, przestał odczuwać skrępowanie."
"W końcu z tych chaotycznych wyjaśnień, jakoś złożyła się logiczna całość: mieszka w Ostrowcu, u rodziny osoby, której szuka i koniecznie musi przekazać pilną wiadomość, osobiście.","W końcu z tych chaotycznych wyjaśnień, jakoś złożył się logiczna całość: mieszka w Ostrowcu, u rodziny osoby, której szuka i koniecznie musi przekazać pilną wiadomość, osobiście."
"Po pewnym czasie pojawiła się też mniejsza grupa, zmierzająca w odwrotną stronę.","Po pewnym czasie pojawił się też mniejsza grupa, zmierzająca w odwrotną stronę."
Francja nie zdołałaby zapłacić kontrybucji i odbudować kraju bez tej pomocy.,Francja nie zdołał by zapłacić kontrybucji i odbudować kraju bez tej pomocy.
"Zauważyła Angusa, podeszła się przywitać i zapytała co tu robi.","Zauważył Angusa, podeszła się przywitać i zapytała co tu robi."
"Matka zadziałała w najprostszy, bezpośredni sposób.","Matka zadziałał w najprostszy, bezpośredni sposób."
"Sama udała się do Arbeitsamtu zabierając wezwanie Angusa i porozmawiała z niemieckim szefem swoim doskonałym berlińskim akcentem, wyjmując w odpowiednim momencie kopertę wypchaną banknotami.","Sama udał się do Arbeitsamtu zabierając wezwanie Angusa i porozmawiała z niemieckim szefem swoim doskonałym berlińskim akcentem, wyjmując w odpowiednim momencie kopertę wypchaną banknotami."
Rybka powędrowała do akwarium ustawionego przez asystentkę na stoliku.,Rybka powędrował do akwarium ustawionego przez asystentkę na stoliku.
Nastrój jesiennej majówki zepsuła ta dziewczyna.,Nastrój jesiennej majówki zepsuł ta dziewczyna.
"Raz jeden znalazłam się w tamtym domu dzięki uporowi, czyli ""humorom"", jak on to określał.","Raz jeden znalazł m się w tamtym domu dzięki uporowi, czyli ""humorom"", jak on to określał."
Wzięła mnie na ręce i zaniosła na łóżko.,Wziął mnie na ręce i zaniosła na łóżko.
Zgasiła światło.,Zgasił światło.
Ta kobieta udzieliła mi kilku ważnych lekcji.,Ta kobieta udzielił mi kilku ważnych lekcji.
Zupełnie jakby pojawiła się znana gwiazda.,Zupełnie jakby pojawił się znana gwiazda.
"Kobieta przestudiowała ją, potem otworzyła drzwi.","Kobieta przestudiował ją, potem otworzyła drzwi."
"Ocknęłam się w jakimś pomieszczeniu, leżałam na kozetce.","Ocknął m się w jakimś pomieszczeniu, leżała m na kozetce."
"Do drugiej sali przybiegła pani Zosia okutana w zbyt dużą kufajkę, a za nią przyczłapał ogromny i brzuchaty pan Dąbrowski, dźwigając kosz pełen butelek rozmaitych kształtów.","Do drugiej sali przybiegł pani Zosia okutana w zbyt dużą kufajkę, a za nią przyczłapał ogromny i brzuchaty pan Dąbrowski, dźwigając kosz pełen butelek rozmaitych kształtów."
"Omijając tańczących na parkiecie, podeszła kelnerka Zosia i postawiła na stoliku pół litra wyborowej.","Omijając tańczących na parkiecie, podszedł kelnerka Zosia i postawiła na stoliku pół litra wyborowej."
"Pani Zosia wymieniła porozumiewawcze spojrzenia z panią Simonow, gdy podporucznik Kowalik stanął w drzwiach kancelarii.","Pani Zosia wymienił porozumiewawcze spojrzenia z panią Simonow, gdy podporucznik Kowalik stanął w drzwiach kancelarii."
"""Zmarł biedaczysko w szpitalu polowym, wczoraj był wesół i zdrów"" - zabrzmiała pieśń, gdy tylko Orszyc-Druszlewski dał znak.","""Zmarł biedaczysko w szpitalu polowym, wczoraj był wesół i zdrów"" - zabrzmiał pieśń, gdy tylko Orszyc-Druszlewski dał znak."
"Nie zrobiła mu z mózgu obolałej papki, chciało mu się żyć i wierzył, że innym też się dostatecznie mocno chce.","Nie zrobił mu z mózgu obolałej papki, chciało mu się żyć i wierzył, że innym też się dostatecznie mocno chce."
"- Chcesz powiedzieć, że możesz nie mieć okazji, by zameldować o wszystkim żandarmerii - podsumowała.","- Chcesz powiedzieć, że możesz nie mieć okazji, by zameldować o wszystkim żandarmerii - podsumował."
- U mnie chyba też - powiedziała cicho.,- U mnie chyba też - powiedział cicho.
- Już nie - zauważyła Kaśka z uśmiechem.,- Już nie - zauważył Kaśka z uśmiechem.
Na chwilę mignęła mi sylwetka dziewczyny z łopatą na ramieniu.,Na chwilę mignął mi sylwetka dziewczyny z łopatą na ramieniu.
- To tylko dwie ściany - zauważyła.,- To tylko dwie ściany - zauważył.
